material_id,material_name,material_name_fr,material_category
0,enameled porcelain,Porcelaine émaillée,sculptures
1,watercolor and bodycolor on ivory,Aquarelle et carrosserie sur ivoire,miniatures
2,watercolour on ivory,Aquarelle sur ivoire,miniatures
3,watercolor on ivory,Aquarelle sur ivoire,miniatures
4,miniature on ivory,Miniature sur ivoire,miniatures
5,gouache on ivory,Gouache sur ivoire,miniatures
6,miniature,Miniature,miniatures
7,"ultra-violet ink, glass, razor blades, scalpel blades, religious medallions and varnish over screenprint on canvas","L'encre ultra-violette, le verre, les lames de rasoir, les lames de scalpel, les médaillons religieux et le vernis sur la toile sur toile",paintings
8,"beveled glass mirror flanked by two lateral panels, each reverse painted with tempera and applied gold leaf","Miroir en verre biseé flanqué de deux panneaux latéraux, chaque revers peints avec la tempéra et la feuille d'or appliquée",paintings
9,"tempera, watercolour, collage and cellulose on trimmed cardboard, mounted on two cuboidal blocks of wood","Tempera, aquarelle, collage et cellulose sur carton découpé, monté sur deux blocs de bois cuboïdes",paintings
10,"oil, encaustic, pencil, tracing paper, tape and a newspaper article on canvas stretched over wood","Huile, encaustique, crayon, papier de traçage, bande et un article de journal sur toile étirée sur bois",paintings
11,"mixed media, watercolor, egg tempera and oil on aluminum cardboard with polyvinyl chalk ground","Milieu mixte, aquarelle, trempe d'oeufs et huile sur carton d'aluminium avec sol de craie de polyvinyle",paintings
12,"coloured spatial object, oil, acrylic on canvas on synthetic cotton wool, laid down on canvas","Objet spatial coloré, huile, acrylique sur toile sur toile de coton synthétique, posée sur toile",paintings
13,"pigments on rolled paper, synthetic resin, printers ink, solvent on Japanese paper and canvas","Pigments sur papier laminé, résine synthétique, encre d'impression, solvant sur papier japonais et toile",paintings
14,"oil, collage of painted fabric, sand, stones, thread, insulating foam and industial paint","Huile, collage de tissu peint, sable, pierres, fil, mousse isolante et peinture industielle",paintings
15,"printed fabric, faux fur, velour, plastic, acrylic, glitter and paper collage on paper","Tissu imprimé, faux fourrure, velour, plastique, acrylique, paieil et collage sur papier sur papier",paintings
16,"Oil, gold paint, pencil and adhesive tape, as collage on four layers of tracing paper","Huile, peinture d'or, crayon et ruban adhésif, en tant que collage sur quatre couches de papier de traçage",paintings
17,"oil, graphite, crayons, felt-tip pen, paper collage and nailed wooden sticks on board","Huile, graphite, crayons, feutre feutre, collage sur papier et bâtonnets en bois cloués à bord",paintings
18,"velour, wool, lace, wire, ink, glue, wood, acrylic, resin and paper collage on paper","Velour, laine, dentelle, fil, encre, colle, bois, acrylique, résine et collage sur papier sur papier",paintings
19,"acrylic, lacquer, casein, color chalk, crayon, pencil and charcoal on drawing board","Acrylique, laque, caséine, craie couleur, crayon, crayon et charbon de bois sur carton",paintings
20,"oil, emulsion, acrylic, charcoal, lead boat, branches, chairs and plaster on canvas","Huile, émulsion, acrylique, fusain, bateau à plomb, branches, chaises et plâtre sur toile",paintings
21,"acrylic, indian ink with rubbing and acrylic border on paper laid down on canvas","Acrylique, encre d'indian avec frottement et bordure acrylique sur papier posé sur toile",paintings
22,"acrylic, lacquer, casein, color chalk, crayon, pencil and charcoal on cardboard","Acrylique, laque, caséine, craie couleur, crayon, crayon et fusain sur carton",paintings
23,"acrylic on paper laid to canvas, with collage logograms by Christian Dotremont","Acrylique sur papier posé sur toile, avec des logogrammes de collage par Christian Dotremont",paintings
24,"gold foil, silver foil, Japanese pigment on cotton cloth mounted on wood panel","Feuille d'or, feuille d'argent, pigment japonais sur tissu de coton monté sur panneau de bois",paintings
25,"mixed media, acrylic polymer, paper, charcoal and jute on primed Belgium linen","Médias mixtes, polymère acrylique, papier, charbon de bois et jute sur lin de Belgique",paintings
26,"stencil, lacquer paint, spray paint and acrylic on paper, on masonite mounted.","Pochoir, laque peinture, peinture en aérosol et acrylique sur papier, sur masonite monté.",paintings
27,"mixed media with poster, collage, mirrored pieces, photographs and a windmill","Médias mixtes avec une affiche, un collage, des pièces en miroir, des photographies et un moulin à vent",paintings
28,"oil, collage, black and colored India ink on nacreous card with deckled edges","Huile, collage, encre noire et colorée en Inde sur une carte nacelle avec des bords décalés",paintings
29,acrylic and collage on panel with a wood frame under partially painted glass,Acrylique et collage sur panneau avec un cadre en bois sous verre partiellement peint,paintings
30,"painted wood, glass and aluminum plates, tape and brush in a Plexiglas box","Bois peint, plaques de verre et d'aluminium, ruban et brosse dans une boîte de Plexiglas",paintings
31,"natural sponges, pebbles and dry blue pigment in synthetic resin on panel","éponges naturelles, cailloux et pigment bleu sec en résine synthétique sur panneau",paintings
32,"oil, paper, printed reproductions, cardboard, fabric and pencil on canvas","Huile, papier, reproduction imprimée, carton, tissu et crayon sur toile",paintings
33,"acrylic, watercolor, paper collage with silver foil and sequins on paper","Acrylique, aquarelle, collage en papier avec feuille d'argent et paillettes sur papier",paintings
34,paint and metallic paints on Japanese autograph paper laid down on board,Peinture et peinture métallique sur papier autographe japonais posé à bord,paintings
35,"newspaper clippings collaged, gouache and paint on corrugated cardboard","Coupures de journaux collés, gouache et peinture sur carton ondulé",paintings
36,paint & stenciled spray paint on plywood adhered to wooden window frame,Peinture et peinture en contreplaqué sur du contreplaqué adhère au cadre de la fenêtre en bois,paintings
37,oil on prepared wrapping paper laid down on the artist's painted mount,Huile sur papier d'emballage préparé sur le support peint de l'artiste,paintings
38,"photostat reproduction, oil and graphite on masonite in artist's frame","Photostat reproduction, huile et graphite sur la masonite dans le cadre de l'artiste",paintings
39,"acrylic glass, polyester on curved metal and nailed to a wooden frame","Verre acrylique, polyester en métal incurvé et clouée à un cadre en bois",paintings
40,"enamel painting on thin canvas, fine woven material stretched over it","Peinture en émail sur toile fine, fine tissée étirée dessus",paintings
41,"mixed media black felt tip pen, watercolor and acrylic on fiber board","Mélangé noir feutre noir feutre, aquarelle et acrylique sur carton",paintings
42,"oil on canvas, baked enamel, enamel on silkscreen grid on steel tiles","Huile sur toile, émail au four, émail sur grille à sérier sur carreaux d'acier",paintings
43,"acrylic, watercolour, brush and India ink and paper collage on paper","Acrylique, aquarelle, pinceau et encre de l'Inde et collage sur papier",paintings
44,polyurethane paint on sheet metal with polyester sculptural elements,Peinture en polyuréthane sur tôle avec éléments sculpturaux en polyester,paintings
45,"acrylic, powdered mineral pigments & Paris white on cloth and panel","Acrylique, poudre de pigments minéraux & Paris blanc sur tissu et panneau",paintings
46,"mineral pigment, silver and gold foil on paper laid down on plywood","Pigment minéral, argent et feuille d'or sur papier posé sur du contreplaqué",paintings
47,spray paint on lacquered chipboard surrounded by solid wood molding,Peinture en aérosol sur copeau laqué entouré de moulage en bois massif,paintings
48,tapestry hand-woven in maguey fiber in colors with walnut spreaders,Tapisserie-tissé à la main en fibre maguey en couleurs avec des épandeuses de noix,paintings
49,"acrylic, paper collage, card, colored crayons and pencil on canvas","Acrylique, collage sur papier, carte, crayons de couleur et crayon sur toile",paintings
50,"acrylic polymer, paper, charcoal and jute on primed Belgian linen","Polymère acrylique, papier, fusain et jute sur lin belge",paintings
51,"collage--canvas, paper, felt and oil on board laid down on canvas","Collage -- toile, papier, feutre et huile à bord posé sur toile",paintings
52,monoprint and acrylic on three interlocked enamelled steel plates,Monoprint et acrylique sur trois plaques d'acier enamarées entarquées,paintings
53,"painted foil over collage on paper, affixed to coloured cardboard","Feuille peinte sur un collage sur papier, apposée sur carton coloré",paintings
54,"plexigalss, duralumin alloy, red copper and brass on painted wood","Plexigalss, alliage duralumin, cuivre rouge et laiton sur bois peint",paintings
55,"oil, acrylic, colored crayons, pencil, paper and linen on canvas","Huile, acrylique, crayons de couleur, crayon, papier et lin sur toile",paintings
56,"oil, gouache, watercolour and pencil on board laid down on panel","Huile, gouache, aquarelle et crayon à bord posé sur panneau",paintings
57,"oil, pencil, oilstick and paper collage on paper mounted on card","Huile, crayon, bâtonnet et collage sur papier monté sur carton",paintings
