auction_house_name,auction_location,auction_num,auction_start_date,auction_end_date,auction_name,lot_num,sublot_num,price_kind,price_estimate_min,price_estimate_max,price_sold,artist_name,artist_birth,artist_death,artist_nationality,artwork_name,artwork_year_identifier,artwork_start_year,artwork_end_year,artwork_materials,artwork_category,artwork_markings,artwork_edition,artwork_description,artwork_measurements_height,artwork_measurements_width,artwork_measurements_depth,artwork_size_notes,auction_measureunit,artwork_condition_in,artwork_provenance,artwork_exhibited,artwork_literature,artwork_images1,artwork_images2,artwork_images3,artwork_images4,artwork_images5,image1_name,image2_name,image3_name,image4_name,image5_name,lot_origin_url
"Piasa","Paris","562","2022-11-30","","American Design","100","","price realized","3000","4000","0","","","","","","","",""," Ceramic, walnut, brass and fabric ","material_category","","","<strong><br>Description<br></strong>Jane & Gordon Martz (20th c.)  Pair of table lamps  Ceramic, walnut, brass and fabric  Edited by Marshall Studios  Model created in the 1960s  H 84 × Ø 43 cm","43 cm","","","43 cm","","","","","","https://www.piasa.fr/catalog/images/2040/100_1.jpg","","","","","562____100_a.jpg","","","","","https://www.piasa.fr/en/products/jane-gordon-martz-xx-paire-de-lampes-de-table_6364ed0e77e9e1.61895973",
"Piasa","Paris","562","2022-11-30","","American Design","101","","price realized","6000","9000","0","Harvey Probber","1922","2003","","Recliner","","",""," Walnut, brass and fabric ","material_category","","","<strong><br>Description<br></strong>Harvey Probber (1922-2003)  Recliner  Walnut, brass and fabric  Model created in the 1960s  H 70 × Ø 152,5 cm","152,5 cm","","","152,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/101_1.jpg","https://www.piasa.fr/catalog/images/2040/101_2.jpg","https://www.piasa.fr/catalog/images/2040/101_3.jpg","","","562__Harvey_Probber__101_a.jpg","562__Harvey_Probber__101_b.jpg","562__Harvey_Probber__101_c.jpg","","","https://www.piasa.fr/en/products/harvey-probber-1922-2003-fauteuil-de-repos_6364ed0e7e9710.10861858",
"Piasa","Paris","562","2022-11-30","","American Design","102","","price realized","6000","9000","7800","","","","","","","","","","","","","<strong><br>Description<br></strong>Henry Olko (20th c.)  Sofa  Rattan, caning and fabric  Edited by Willow and Reed  Model created in 1978  H 86 × L 218,5 × W 96,5 cm","96,5 cm","","","96,5 cm","","","","","","https://www.piasa.fr/uploads/henry-olko-xx-canape_6364ed0e85cd74.06916531_155927_63750db92611f0.03563429.jpg","https://www.piasa.fr/uploads/842669_63750db7cdbbc6.20704970.jpg","","","","562____102_a.jpg","562____102_b.jpg","","","","https://www.piasa.fr/en/products/henry-olko-xx-canape_6364ed0e85cd74.06916531",
"Piasa","Paris","562","2022-11-30","","American Design","103","","price realized","6000","9000","7800","","","","","","","","","","","","","<strong><br>Description<br></strong>Henry Olko (20th c.)  Pair of armchairs  Rattan, caning and fabric  Edited by Willow and Reed  Model created in 1978  H 84 × L 106,5 × W 96,5 cm","96,5 cm","","","96,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/103_1.jpg","https://www.piasa.fr/catalog/images/2040/103_2.jpg","https://www.piasa.fr/catalog/images/2040/103_3.jpg","","","562____103_a.jpg","562____103_b.jpg","562____103_c.jpg","","","https://www.piasa.fr/en/products/henry-olko-xx-paire-de-fauteuils_6364ed0e8c27d9.40016054",
"Piasa","Paris","562","2022-11-30","","American Design","104","","price realized","3000","4000","13000","Harvey Probber","1922","2003","","Pair of side tables","","",""," Caning and plywood ","material_category","","","<strong><br>Description<br></strong>Harvey Probber (1922-2003)  Pair of side tables  Caning and plywood  Model created in 1974  H 38 × L 38 × W 38 cm","38 cm","","","38 cm","","","","","","https://www.piasa.fr/catalog/images/2040/104_1.jpg","https://www.piasa.fr/catalog/images/2040/104_2.jpg","","","","562__Harvey_Probber__104_a.jpg","562__Harvey_Probber__104_b.jpg","","","","https://www.piasa.fr/en/products/harvey-probber-1922-2003-paire-de-tables-dappoint_6364ed0e938ef6.37016790",
"Piasa","Paris","562","2022-11-30","","American Design","105","","price realized","6000","9000","6500","Edward J Wormley","1907","1995","","Model","","5320","","","","","","<strong><br>Description<br></strong>Edward J Wormley (1907-1995)  Model 5320  Screen in four elements  Walnut and rattan  Edited by Dunbar  Manufacturer’s label  Model created in 1955  H 212 × L 192 × W 4 cm  H 212 × L 48 × W 4 cm (each leaf)  Bibliography: L. Pina, 'Dunbar Fine Furniture of  the 1950's', Ed. Schiffer, Atglen, 2000, p. 135","4 cm","","","4 cm","","","","","","https://www.piasa.fr/catalog/images/2040/105_1.jpg","","","","","562__Edward_J_Wormley__105_a.jpg","","","","","https://www.piasa.fr/en/products/edward-j-wormley-1907-1995-modele-5320_6364ed0e9c4e08.04646594",
"Piasa","Paris","562","2022-11-30","","American Design","106","","price realized","3000","4000","5200","Karl Springer","1931","1991","","Pair of lamps","","",""," Lucite, brass and fabric ","material_category","","","<strong><br>Description<br></strong>Karl Springer (1931-1991)  Pair of lamps  Lucite, brass and fabric  Model created in the 1980s  H 81 × Ø 51 cm","51 cm","","","51 cm","","","","","","https://www.piasa.fr/catalog/images/2040/106_1.jpg","https://www.piasa.fr/catalog/images/2040/106_2.jpg","","","","562__Karl_Springer__106_a.jpg","562__Karl_Springer__106_b.jpg","","","","https://www.piasa.fr/en/products/karl-springer-1931-1991-paire-de-lampes_6364ed0ea242f8.66461034",
"Piasa","Paris","562","2022-11-30","","American Design","107","","price realized","14000","18000","0","Paul Frankl","1886","1946","","Station Wagon collection","","",""," Teak, birch, brass and leather ","material_category","","","<strong><br>Description<br></strong>Paul Frankl (1886-1946)  Station Wagon collection  Double chest of drawers  Teak, birch, brass and leather  Edited by Johnson Furniture Company  Manufacturer’s stamp in a drawer and manufacturer’s label on the back  Model created circa 1950  H 82 × L 168 × W 56 cm","56 cm","","","56 cm","","","","","","https://www.piasa.fr/uploads/paul-frankl-1886-1946-collection-station-wagon_636_908120_6388b496ddb5f4.01014754.jpg","https://www.piasa.fr/uploads/paul-frankl-1886-1946-collection-station-wagon_636_930420_6388b496e327b0.26022434.jpg","","","","562__Paul_Frankl__107_a.jpg","562__Paul_Frankl__107_b.jpg","","","","https://www.piasa.fr/en/products/paul-frankl-1886-1946-collection-station-wagon_6364ed0ea843f0.96229261",
"Piasa","Paris","562","2022-11-30","","American Design","108","","price realized","4000","6000","0","","","","","","","",""," Plywood, caning and fabric ","material_category","","","<strong><br>Description<br></strong>Bielecky Brothers (20th c.)  Bench  Plywood, caning and fabric    19    Model created in the 1970s  H 84 × L 152,5 × W 86 cm","86 cm","","","86 cm","","","","","","https://www.piasa.fr/catalog/images/2040/108_1.jpg","https://www.piasa.fr/catalog/images/2040/108_2.jpg","https://www.piasa.fr/catalog/images/2040/108_3.jpg","","","562____108_a.jpg","562____108_b.jpg","562____108_c.jpg","","","https://www.piasa.fr/en/products/bielecky-brothers-xx-banquette_6364ed0eae60f4.53284183",
"Piasa","Paris","562","2022-11-30","","American Design","109","","price realized","5000","7000","0","","","","","","","",""," Plywood, caning and fabric ","material_category","","","<strong><br>Description<br></strong>Bielecky Brothers (20th c.)  Pair of armchairs  Plywood, caning and fabric  Model created in the 1970s  H 84 × L 74 × W 86 cm","86 cm","","","86 cm","","","","","","https://www.piasa.fr/catalog/images/2040/109_1.jpg","https://www.piasa.fr/catalog/images/2040/109_2.jpg","https://www.piasa.fr/catalog/images/2040/109_3.jpg","","","562____109_a.jpg","562____109_b.jpg","562____109_c.jpg","","","https://www.piasa.fr/en/products/bielecky-brothers-xx-paire-de-fauteuils_6364ed0eb56901.78546419",
"Piasa","Paris","562","2022-11-30","","American Design","110","","price realized","3000","4000","7150","","","","","","","","","","","","","<strong><br>Description<br></strong>Lou Hodges (20th c.)  Bookcase  Walnut  Model created in the 1970s  H 193 × L 246 × W 46 cm","46 cm","","","46 cm","","","","","","https://www.piasa.fr/catalog/images/2040/110_1.jpg","https://www.piasa.fr/catalog/images/2040/110_2.jpg","https://www.piasa.fr/catalog/images/2040/110_3.jpg","","","562____110_a.jpg","562____110_b.jpg","562____110_c.jpg","","","https://www.piasa.fr/en/products/lou-hodges-xx-bibliotheque_6364ed0ebc3992.85248523",
"Piasa","Paris","562","2022-11-30","","American Design","111","","price realized","7000","9000","13000","","","","","","","","","","","","","<strong><br>Description<br></strong>Preview Furniture (20th c.)  Sofa  Rattan and fabric  Model created in the 1980s  H 71 × L 208 × W 109 cm","109 cm","","","109 cm","","","","","","https://www.piasa.fr/catalog/images/2040/111_1.jpg","https://www.piasa.fr/catalog/images/2040/111_2.jpg","","","","562____111_a.jpg","562____111_b.jpg","","","","https://www.piasa.fr/en/products/preview-furniture-xx-canape_6364ed0ec34a73.75831837",
"Piasa","Paris","562","2022-11-30","","American Design","112","","price realized","3000","4000","12350","","","","","","","",""," Ceramic, walnut, brass and fabric ","material_category","","","<strong><br>Description<br></strong>Jane & Gordon Martz (20th c.)  Pair of table lamps  Ceramic, walnut, brass and fabric  Edited by Marshall Studios  Model created in the 1960s  H 84 × Ø 43 cm","43 cm","","","43 cm","","","","","","https://www.piasa.fr/catalog/images/2040/112_1.jpg","https://www.piasa.fr/catalog/images/2040/112_2.jpg","https://www.piasa.fr/catalog/images/2040/112_3.jpg","","","562____112_a.jpg","562____112_b.jpg","562____112_c.jpg","","","https://www.piasa.fr/en/products/jane-gordon-martz-xx-paire-de-lampes-de-table_6364ed0ec951a7.75586395",
"Piasa","Paris","562","2022-11-30","","American Design","113","","price realized","4000","6000","6500","Isamu Kenmochi","1912","1971","","Pair of armchairs","","","","","","","","<strong><br>Description<br></strong>Isamu Kenmochi (1912-1971)  Pair of armchairs  Rattan and fabric  Model created in 1960  H 74 × L 81,5 × W 95 cm","95 cm","","","95 cm","","","","","","https://www.piasa.fr/catalog/images/2040/113_1.jpg","","","","","562__Isamu_Kenmochi__113_a.jpg","","","","","https://www.piasa.fr/en/products/isamu-kenmochi-1912-1971-paire-de-fauteuils_6364ed0ed01180.94803436",
"Piasa","Paris","562","2022-11-30","","American Design","114","","price realized","2000","3000","6500","Isamu Kenmochi","1912","1971","","Set of one armchair and a side table","","","","","","","","<strong><br>Description<br></strong>Isamu Kenmochi (1912-1971)  Set of one armchair and a side table  Rattan and fabric  Model created in 1960  H 74 × L 81,5 × W 95 cm (armchair)  H 46,5 × Ø 63 cm (side table)","63 cm","","","63 cm","","","","","","https://www.piasa.fr/catalog/images/2040/114_1.jpg","","","","","562__Isamu_Kenmochi__114_a.jpg","","","","","https://www.piasa.fr/en/products/isamu-kenmochi-1912-1971-ensemble-dun-fauteuil-et-une-table-dappoint_6364ed0ed53745.09354419",
"Piasa","Paris","562","2022-11-30","","American Design","115","","price realized","3000","4000","4550","","","","","","","","","","","","","<strong><br>Description<br></strong>Architectural Pottery (founded in 1950)    20    Pair of vases  Ceramic and walnut  Model created in the 1950s  H 33 × Ø 44,5 cm","44,5 cm","","","44,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/115_1.jpg","","","","","562____115_a.jpg","","","","","https://www.piasa.fr/en/products/architectural-pottery-fonde-en-1950-paire-de-vases_6364ed0eda6458.35952956",
"Piasa","Paris","562","2022-11-30","","American Design","116","","price realized","10000","15000","16900","Karl Springer","1931","1991","","Dowelwood","","",""," Dowelwood ","material_category","","","<strong><br>Description<br></strong>Karl Springer (1931-1991)  Dowelwood  Daybed  Oak wood, plaited rattan and fabric  Model created in the 1970s  H 81 × L 190,5 × W 122 cm","122 cm","","","122 cm","","","","","","https://www.piasa.fr/catalog/images/2040/116_1.jpg","https://www.piasa.fr/catalog/images/2040/116_2.jpg","https://www.piasa.fr/catalog/images/2040/116_3.jpg","","","562__Karl_Springer__116_a.jpg","562__Karl_Springer__116_b.jpg","562__Karl_Springer__116_c.jpg","","","https://www.piasa.fr/en/products/karl-springer-1931-1991-dowelwood_6364ed0edf1ed7.72486622",
"Piasa","Paris","562","2022-11-30","","American Design","117","","price realized","5000","7000","0","Isamu Noguchi","1904","1988","","Akari series - Model E","","",""," Washi paper and bamboo ","material_category","‘Sun and moon’ ideogram and signed 'Isamu Noguchi' ","","<strong><br>Description<br></strong>Isamu Noguchi (1904-1988)  Akari series - Model E  Suspension  Washi paper and bamboo  Edited by Ozeki &amp; Co  ‘Sun and moon’ ideogram and signed 'Isamu Noguchi'  Model created in 1954  H 250 × Ø 46 cm  Bibliography:  - P. Briellard, C. Magnan and T. Varaillon, 'Akari,  les chemins de la lumière', exhibition catalogue,  Ed. Wa Design Gallery, 2021, similar model  pp. 77, 116-117  - 'Aujourd’hui Art et Architecture', n° 36,  Avril 1962, similar model p. 62","46 cm","","","46 cm","","","","","","https://www.piasa.fr/catalog/images/2040/117_1.jpg","","","","","562__Isamu_Noguchi__117_a.jpg","","","","","https://www.piasa.fr/en/products/isamu-noguchi-1904-1988-serie-akari-modele-e_6364ed0ee625e8.33751320",
